"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Machine Learning Based Monitoring Framework for Side-Channel Information Leaks","M. Lescisin; Q. H. Mahmoud","Department of Electrical, Computer, and Software Engineering, University of Ontario Institute of Technology, Oshawa, ON, Canada; Department of Electrical, Computer, and Software Engineering, University of Ontario Institute of Technology, Oshawa, ON, Canada","IEEE Open Journal of the Computer Society","26 Mar 2021","2021","2","","139","151","Computer and network security is an ever important field of study as information processed by these systems is of ever increasing value. The state of research on direct attacks, such as exploiting memory safety or shell input errors is well established and a rich set of testing tools are available for these types of attacks. Machine-learning based intrusion detection systems are also available and are commonly deployed in production environments. What is missing, however, is the consideration of implicit information flows, or <italic>side-channels</italic>. Research has revealed side-channels formed by everything from CPU acoustic noise, to encrypted network traffic patterns, to computer monitor ambient light. Furthermore, no portable method exists for distributing side-channel test cases. This paper introduces a framework for adversary modeling and feedback generation on what the adversary may learn from the various side-channel information sources. The framework operates by monitoring <italic>two</italic> data streams; the first being the stream of side-channel cues, and the second being the stream of private system activity. These streams are used for <italic>training</italic> and <italic>evaluating</italic> a <italic>machine learning classifier</italic> to determine its performance of private system activity prediction. A prototype has been built to evaluate side-channel effects on <italic>four</italic> popular scenarios.","2644-1268","","10.1109/OJCS.2021.3061445","Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9361206","Data mining;devops;machine learning;security;side-channel;software quality","Side-channel attacks;Monitoring;Software quality;Servers;Data models;Machine learning;Data mining","computer network security;cryptography;learning (artificial intelligence)","machine learning classifier;side-channel test cases;side-channel information leaks;private system activity prediction;feedback generation;adversary modeling;computer monitor ambient light;encrypted network traffic patterns;CPU acoustic noise;machine learning based intrusion detection systems;network security;monitoring framework","","","","29","CCBY","23 Feb 2021","","","IEEE","IEEE Journals"
"A Model-Driven Architectural Design Method for Big Data Analytics Applications","C. Castellanos; B. Pérez; D. Correal; C. A. Varela","University of Los Andes,System Engineering and Computing Department,Bogotá,Colombia; University of Los Andes,System Engineering and Computing Department,Bogotá,Colombia; University of Los Andes,System Engineering and Computing Department,Bogotá,Colombia; Rensselaer Polytechnic Institute,Computer Science Department,Troy,NY,USA","2020 IEEE International Conference on Software Architecture Companion (ICSA-C)","19 May 2020","2020","","","89","94","Big data analytics (BDA) applications use machine learning to extract valuable insights from large, fast, and heterogeneous data sources. The architectural design and evaluation of BDA applications entail new challenges to integrate emerging machine learning algorithms with cutting-edge practices whilst ensuring performance levels even in the presence of large data volume, velocity, and variety (3Vs). This paper presents a design process approach based on the Attribute-Driven Design (ADD) method and Architecture tradeoff analysis method (ATAM) to specify, deploy, and monitor performance metrics in BDA applications supported by domain-specific modeling and DevOps. Our design process starts with the definition of architectural drivers, followed by functional and deployment specification through integrated high-level modeling which enables quality scenarios monitoring. We used two use cases from avionics to evaluate this proposal, and the preliminary results suggest advantages by integrating multiple views, automating deployment and monitoring compared to similar approaches.","","978-1-7281-7415-0","10.1109/ICSA-C50368.2020.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9095552","Software architecture;Attribute-Driven Design;ADD;ATAM;Big data analytics deployment;DevOps;Domain-specific model;Quality Scenarios","Analytical models;Computer architecture;Data models;Monitoring;Business;Software;Software architecture","avionics;Big Data;learning (artificial intelligence);software architecture;software quality","functional deployment specification;integrated high-level modeling;automating deployment;model-driven architectural design method;Big Data analytics applications;machine learning;heterogeneous data sources;BDA applications;data volume;design process approach;performance metrics;avionics","","","","13","","19 May 2020","","","IEEE","IEEE Conferences"
"A framework to facilitate management of services in cloud based 5G environments","N. Koutsouris; A. Voulkidis; K. Tsagkaris","WINGS ICT SOLUTIONS, 336 Syggrou Avenue, 17673 Athens, Greece; WINGS ICT SOLUTIONS, 336 Syggrou Avenue, 17673 Athens, Greece; WINGS ICT SOLUTIONS, 336 Syggrou Avenue, 17673 Athens, Greece","2017 IFIP/IEEE Symposium on Integrated Network and Service Management (IM)","24 Jul 2017","2017","","","1135","1138","The main target of 5G network technologies is to offer radically increased user capacity and quality of service, while saving energy and reducing investment and operating costs. A key technology in this pursue is the cloudification of the virtualized network functions, which can eventually create an environment where services for network operators and application / content providers are chained, configured, deployed and orchestrated as in a common plane. The ARCADIA framework provides the necessary functionalities for facilitating the development and management of component services that can fully exploit the underlying programmable 5G infrastructure. ARCADIA supports policy definition even at the developer level, as well as unified monitoring and dynamic reconfiguration of service parameters.","","978-3-901882-89-0","10.23919/INM.2017.7987447","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7987447","Highly distributed applications;micro-service;cloud;unikernel;virtualization;devops;reconfiguration;SDN;NFV;annotations","5G mobile communication;Cloud computing;Tools;Measurement;Java;Monitoring","5G mobile communication;cloud computing;telecommunication computing","service facilitate management;cloud-based 5G environments;5G network technologies;virtualized network functions;ARCADIA framework;programmable 5G infrastructure;service parameter dynamic reconfiguration","","","","5","","24 Jul 2017","","","IEEE","IEEE Conferences"
"If Docker is the Answer, What is the Question?","H. Zhu; I. Bayley","Sch. of Eng., Comput. & Math., Oxford Brookes Univ., Oxford, UK; Sch. of Eng., Comput. & Math., Oxford Brookes Univ., Oxford, UK","2018 IEEE Symposium on Service-Oriented System Engineering (SOSE)","17 May 2018","2018","","","152","163","The recent rise of cloud computing poses serious challenges for software engineering because it adds complexity not only to the platform and infrastructure, but to the software too. The demands on system scalability, performance and reliability are ever increasing. Industry solutions with widespread adoption include the microservices architecture, the container technology and the DevOps methodology. These approaches have changed software engineering practice in such a profound way that we argue that it is becoming a paradigm shift. In this paper, we examine the current support of programming languages for the key concepts behind the change in software engineering practice and argue that a novel programming language is required to support the new paradigm. We report a new programming language CAOPLE and its associated Integrated DevOps Environment CIDE and demonstrate the utility of both.","","978-1-5386-5207-7","10.1109/SOSE.2018.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359160","Cloud computing;Microservices;Container technology;DevOps;Service agent orientation;Software engineering paradigms;Parallel and distributed programming models;Software development methodology;Programming languages;Integrated Software Development Environment.","Containers;Object oriented modeling;Computational modeling;Software;Software engineering;Computer architecture;Computer languages","cloud computing;multi-agent systems;programming languages;software engineering","software engineering paradigm shift;service agent orientation;cloud computing;system scalability;CAOPLE programming language","","5","","39","","17 May 2018","","","IEEE","IEEE Conferences"
"A Modeling and Engineering Methodology for Developing Internet of Services from Scratch","J. Li; J. Wang; H. Xu; Z. Wang; X. Xu","Harbin Institute of Technology,Faculty of Computing,Harbin,China; Harbin Institute of Technology,Faculty of Computing,Harbin,China; Harbin Institute of Technology,Faculty of Computing,Harbin,China; Harbin Institute of Technology,Faculty of Computing,Harbin,China; Harbin Institute of Technology,Faculty of Computing,Harbin,China","2021 IEEE World Congress on Services (SERVICES)","15 Nov 2021","2021","","","78","83","In the Internet of Services(IoS), user requirements are becoming more and more complex, which leads to higher requirements put forward for the design and implementation of services. On the other hand, service systems are moving to the cloud, and the new requirements for the service are high availability, high scalability, easy deployment and maintenance, etc. To address these challenges, this paper proposes a modeling and engineering approach for developing services from scratch. This modeling approach uses the classical MDA concept to abstractly model the user’s value quality expectation and correlate the functional model with the user’s value quality in a concrete business scenario. At the same time, it incorporates the concept of DevOps and uses microservice architecture to realize service systems, and then obtains a service solution through the design of value-quality-constrained microservices. We implement a modeling tool to assist designers in the design and implementation of services according to the modeling approach, and validate the feasibility and practicality of the modeling approach on the health care case.","2642-939X","978-1-6654-2719-7","10.1109/SERVICES51467.2021.00040","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9604468","model-driven design;microservices dividing;value and quality perception;UML modeling","Cloud computing;Scalability;Unified modeling language;Medical services;Tools;Maintenance engineering;Business","business data processing;cloud computing;health care;Internet of Things;software architecture;Web services","user requirements;service systems;easy deployment;maintenance;modeling engineering approach;classical MDA concept;functional model;service solution;value-quality-constrained microservices;modeling tool;modeling engineering methodology;Internet of Services;IoS;DevOps","","","","14","IEEE","15 Nov 2021","","","IEEE","IEEE Conferences"
"Experiences in the Development and Usage of a Privacy Requirements Framework","I. Oliver","Security Res. Group, Bell Labs., Espoo, Finland","2016 IEEE 24th International Requirements Engineering Conference (RE)","5 Dec 2016","2016","","","293","302","Any reasonable implementation of privacy requirements can not be made through legal compliance alone. The belief that a software system can be developed without privacy being an integral concept, or that a privacy policy is sufficient as requirements or compliance check is at best dangerous for the users, customers and business involved. While requirements frameworks exist, the specialisation of these into the privacy domain have not been made in such a manner that they unify both the legal and engineering domains. In order to achieve this one must develop ontological structures to aid communication between these domains, provide a commonly acceptable semantics and a framework by which requirements expressed at different levels of abstractness can be linked together and support refinement. An effect of this is to almost completely remove the terms 'personal data' and 'PII' from common usage and force a deeper understanding of the data and information being processed. Once such a structure is in place - even if just partially or sparsely populated - provides a formal framework by which not only requirements can be obtained, their application (or not) be justified and a proper risk analysis made. This has further advantages in that privacy requirements and their potential implementations can be explored through the software development process and support ideas such as agile methods and 'DevOps' rather than being an 'add-on' exercise - a privacy impact assessment - poorly executed at inappropriate times.","2332-6441","978-1-5090-4121-3","10.1109/RE.2016.59","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7765535","Privacy Engineering;Privacy;Requirements;Ontologies;Semantics","Privacy;Law;Security;Ontologies;Context;Software","data privacy;software engineering","privacy requirement framework;legal compliance;software system;privacy policy;privacy domain;legal domains;engineering domains;ontological structure development;personal data;PII;risk analysis;software development process;DevOps;privacy impact assessment","","6","1","35","","5 Dec 2016","","","IEEE","IEEE Conferences"
"A Design Framework of Automatic Deployment for 5G Network Slicing","W. -P. Lai; H. -L. Lai; M. -J. Lai","Yuan Ze University,Department of Electrical Engineering,Taoyuan,Taiwan; Yuan Ze University,Department of Electrical Engineering,Taoyuan,Taiwan; National Central University,Department of Communication Engineering,Taoyuan,Taiwan","2020 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC)","31 Dec 2020","2020","","","1571","1577","Differential services driven user-end and operatorend challenges have been the main driving forces behind the 5G network, which is well perceived as an innovative platform for digital convergence of information, control and management. With both the network slicing (NS) and service slicing (SS) technologies, precious physical resources can thus be shared among multi-tenant mobile virtual network operators, such as over-the-top (OTT) service providers. This paper proposes a three-stage design for automatic slice deployment called LMA, namely (1) LCP: local charm provision for VNF services, (2) MSP: model-based slice planning for service chaining, and (3) ASD: automatic slice deployment for flexible and virtual resource allocation. The LMA is a model-based slice-specific platformneutral design framework for deploying the NS and SS, not only automatically deployable on both the x86-based desk-top computers and data-center bare-metal servers, but also on public or private clouds, as well as the 5G mobile edge. Our design framework adopts the Juju-as-a-Service and EurecomMosaic5G software technologies, where several customizable virtual network function (VNF) components can be flexibly chained together to form a desired NS or SS. This paper studies and presents two successful deployment showcases: a web-blogdatabase based SS and a virtual-evolved-packet-core based NS. Our preliminary results of performance benchmarking show a strong effect of the number of CPU cores on the average latency response of SS, in particular during congestions caused by concurrent user requests.","2640-0103","978-988-14768-8-3","","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9306316","5G;service slicing;network slicing;auto deployment;DevOps","5G mobile communication;Virtualization;Software;Network slicing;Containers;Servers;Planning","business communication;cloud computing;computer network management;Internet;mobile computing;mobile radio;network servers;resource allocation;virtualisation","automatic slice deployment;flexible resource allocation;virtual resource allocation;LMA;model-based slice-specific platformneutral design framework;5G mobile edge;Juju-as-a-Service;EurecomMosaic5G software technologies;customizable virtual network function components;successful deployment showcases;web-blogdatabase based SS;virtual-evolved-packet-core based NS;automatic deployment;differential services driven user-end;main driving forces;precious physical resources;multitenant mobile virtual network operators;over-the-top service providers;three-stage design;VNF services;service chaining","","","","25","","31 Dec 2020","","","IEEE","IEEE Conferences"
"The state of agile development adoption in Argentine software companies","V. A. Bollati; G. Gaona; L. C. Pletsch; S. Gonnet; H. Leone","Universidad Tecnológica Nacional CONICET, Resistencia, Chaco, Argentina; Universidad Tecnológica Nacional Resistencia, Chaco, Argentina; Universidad Tecnológica Nacional Resistencia, Chaco, Argentina; INGAR, Instituto de Desarrollo y Diseño, Universidad Tecnológica Nacional, CONICET, Avellaneda 3657, Santa Fe, Argentina; INGAR, Instituto de Desarrollo y Diseño, Universidad Tecnológica Nacional, CONICET, Avellaneda 3657, Santa Fe, Argentina","2017 XLIII Latin American Computer Conference (CLEI)","21 Dec 2017","2017","","","1","10","Agile development practices have been consolidated as an industry standard in recent years. Its fundamental stone was raised by professionals, who in 2001, made a manifesto where they proposed four values and twelve principles. Based on this manifesto emerged different initiatives such as: eXtreme Programming, Crystal Family, or Scrum and some more current as Continuous Integration and Delivery, DevOps, Managment 3.0 or Lean. Currently there are international industry reports showing an increasing adoption of these practices in teams of different size and characteristics. However, we have identified the lack of data about the degree to which companies in the region adopt these practices. With the objective of analyzing the state of practice of agility in the companies of the region, we have carried out an investigation by means of a survey. In this paper, we present the results of this survey and the main conclusions obtained from them.","","978-1-5386-3057-0","10.1109/CLEI.2017.8226394","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8226394","Agile;eXtreme Programming;Crystal Family;Scrum;Continuos Continuous Integration and Delivery;DevOps;Managment 3.0;Lean;Survey","Software;Companies;Silicon compounds;Industries;Programming profession;Crystals","DP industry;project management;software development management;software houses;software prototyping","Managment 3.0;DevOps;Lean;international industry reports;Scrum;Crystal Family;eXtreme Programming;professionals;fundamental stone;industry standard;agile development practices;Argentine software companies;agile development adoption","","","","","","21 Dec 2017","","","IEEE","IEEE Conferences"
"Landscape of Monitoring and Visualization of Technologies in DevOps for Classification and Prediction","A. Pailwan; J. Abraham; M. Saraf","College of Engineering Pune,Computer Department,Pune,India; Computer Engineering College of Engineering Pune,Pune,India; Reliance Industries Limited,Navi Mumbai,India","2020 Fourth World Conference on Smart Trends in Systems, Security and Sustainability (WorldS4)","1 Oct 2020","2020","","","581","588","As Isaac Asimov said “If knowledge can create problems then it is not through ignorance that this, we solve them” which is the main motto for this project. This project wanted to create the central platform where the knowledge could be shared and keeping the saying in mind this project used logs for the research. Despite the logs are created for every instance and applications, studying and using them is rarely done because of their illegibility for people who do not understand that specific application's log profile leading to the use of logs either entirely neglected or rarely used for specific cases. This project is separated into 3 sections : 1) A centralised platform where the logs are stored and manipulated and standardised method for reading them is created using Elasticsearch. 2) Visualisation with the help of kibana is done for interpreting data. 3) Logs are ingested into hadoop eco system from logstash. From logstatsh which increase the retention time period of logs and hense machine learning algorithms for detecting anomaly in the logs can be done easily. This project tries to create a fully encompasing and logterm architectural solution for application managemnet of environments. And a broad perspective solution for visualizing flow of data on a mangeral level.","","978-1-7281-6823-4","10.1109/WorldS450073.2020.9210398","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9210398","Elasticsearch;Logstash;Kibana;Isolation Forest;Local Outer Factor;Elliptic Envelop;Hadoop;Druid;PySpark;Ruby","Data visualization;Servers;Monitoring;Data mining;Task analysis;Real-time systems;Forestry","application program interfaces;data handling;data visualisation;learning (artificial intelligence);parallel processing;pattern classification;system monitoring","technologies monitoring;technologies visualization;Elasticsearch;Kibana;Hadoop ecosystem;machine learning algorithms;devops","","","","17","","1 Oct 2020","","","IEEE","IEEE Conferences"
"How Do Students Feel About Automated Security Static Analysis Exercises?","A. Rahman; H. Shahriar; D. B. Bose","Tennessee Technological University,Department of Computer Science,Cookeville,TN,USA; Kennessaw State University,College of Computing and Software Engineering,Kennessaw,Georgia,USA; Reeve Systems,Dhaka,Bangladesh","2021 IEEE Frontiers in Education Conference (FIE)","20 Dec 2021","2021","","","1","4","This Innovative Practice, work in progress (WIP) paper presents our experience related to two exercises that focus on automated security static analysis, a practice used to integrate security into development and operations (DevOps). The concept has gained popularity amongst information technology (IT) organizations. However, security-related concerns, such as security weaknesses in DevOps artifacts can cause serious consequences. Our preliminary findings indicate that (i) students positively perceive the introduced exercises; and (ii) the students perform well if they are provided necessary background on the exercises. Our WIP paper lays the groundwork to build course materials that will facilitate development, deployment, and dissemination of DevOps-related education materials that also incorporate cybersecurity concepts.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637201","National Science Foundation (NSF)(grant numbers:2026869); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637201","computer science;cybersecurity;devops;devsec-ops;education;exercise;experience report;student perception","Conferences;Static analysis;Organizations;Computer security;Information technology","cloud computing;computer aided instruction;computer science education;educational courses;program diagnostics;security of data;software tools","DevOps-related education materials;automated security static analysis exercises;information technology;security-related concerns","","","","14","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"A New Project Management Tool Based on DevSecOps","K. Zunnurhain; S. R. Duclervil","School of Computer Science, Kean University, Union, NJ, USA; School of Computer Science, Kean University, Union, NJ, USA","2019 International Conference on Computational Science and Computational Intelligence (CSCI)","20 Apr 2020","2019","","","239","243","Cyber Security has become an important and crucial part of our society. Software are many times developed with little to no guidelines and security components, costing the quality and security of the software. We investigated on different agile development life-cycle models including: Behavioral Driven Development, Scaled Agile Framework and DevOps and DevSecOps. Eventually, we decided to focus on the DevSecOps development life-cycle model. Different types of DevSecOps models were found and analyzed. The characteristics of each were gathered to develop criteria for a new and effective DevSecOps model. Our results show that the DevSecOps models were more reliable than the previous models. Hence we adapted this model to develop our website to allow more security. All the selected criteria are highlighted and discussed in this study along with the website.","","978-1-7281-5584-5","10.1109/CSCI49370.2019.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9071258","Cyber Security, development models, scalability, DevOps, DevSecOps","Security;Software;Biological system modeling;Adaptation models;Tools;Project management;Analytical models","project management;security of data;software prototyping","scaled agile framework;DevSecOps development life-cycle model;cyber security;behavioral driven development;agile development life-cycle models;project management","","1","","5","","20 Apr 2020","","","IEEE","IEEE Conferences"
"Deep Neural Network Based Log Analysis","H. B. Ketmen; B. Bulut","Enforma Bilişim A.Ş.,İstanbul,Türkiye; Enforma Bilişim A.Ş.,İstanbul,Türkiye","2021 29th Signal Processing and Communications Applications Conference (SIU)","19 Jul 2021","2021","","","1","4","Today, the logs of the services running on virtual and real servers provide us with data from which statistical inferences can be made about the service itself and the ecosystem it is in, if it is analyzed. The usage purposes of the tools used in DevOps, the content of the logs they produce, the way they are stored and the frequency of reproduction may vary. Creating metrics by analyzing logs and taking necessary actions on metrics can potentially increase productivity when the hurdles such as fragmentation of unstructured data, processing of data and processing of data are overcome. In this study, it is shown that the logs can be modeled as a natural language sequence in order that the necessary actions be taken, and it is possible to classify the process logs of Jenkins, which is one of the services used in DevOps, by using the Bidirectional Long Short-Term Memory method, with high accuracy and Cohen's Kappa score.","2165-0608","978-1-6654-3649-6","10.1109/SIU53274.2021.9477836","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9477836","DevOps;Jenkins;log analysis;natural language sequence;Bidirectional Long Short Term Memory","Long short term memory;Conferences;Software;Measurement;Convolutional neural networks;Big Data;White spaces","convolutional neural nets;deep learning (artificial intelligence);information analysis;recurrent neural nets;system monitoring","deep neural network based log analysis;virtual servers;statistical inferences;DevOps;bidirectional long short-term memory method;Cohen Kappa score","","","","","","19 Jul 2021","","","IEEE","IEEE Conferences"
"Microservices for Continuous Deployment, Monitoring and Validation in Cyber-Physical Systems: an Industrial Case Study for Elevators Systems","A. Gartziandia; J. Ayerdi; A. Arrieta; S. Ali; T. Yue; A. Agirre; G. Sagardui; M. Arratibel",Ikerlan; Mondragon University; Mondragon University; Simula Research Laboratory; Simula Research Laboratory; Ikerlan; Mondragon University; Orona,"2021 IEEE 18th International Conference on Software Architecture Companion (ICSA-C)","10 May 2021","2021","","","46","53","Cyber-Physical Systems (CPSs) are systems that integrate digital cyber computations with physical processes. The software embedded in CPSs has a long life-cycle, requiring constant evolution to support new requirements, bug fixes, and deal with hardware obsolescence. To date, the development of software for CPSs is fragmented, which makes it extremely expensive. This could be substantially enhanced by tightly connecting the development and operation phases, as is done in other software engineering domains (e.g., web engineering through DevOps). Nevertheless, there are still complex issues that make it difficult to use DevOps techniques in the CPS domain, such as those related to hardware-software co-design. To pave the way towards DevOps in the CPS domain, in this paper we instantiate part of the reference architecture presented in the H2020 Adeptness project, which is based on microservices that allow for the continuous deployment, monitoring and validation of CPSs. To this end, we elaborate a systematic methodology that considers as input both domain expertise and a previously defined taxonomy for DevOps in the CPS domain. We obtain a generic microservice template that can be used in any kind of CPS. In addition, we instantiate this architecture in the context of an industrial case study from the elevation domain.","","978-1-6654-3910-7","10.1109/ICSA-C52384.2021.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425852","Microservices;DevOps;Cyber-Physical Systems","Systematics;Software architecture;Conferences;Taxonomy;Computer architecture;Cyber-physical systems;Software","cyber-physical systems;hardware-software codesign;lifts;production engineering computing;program debugging;service-oriented architecture","CPS domain;domain expertise;elevation domain;continuous deployment;cyber-physical systems;elevators systems;long life-cycle;hardware obsolescence;software engineering domains;DevOps techniques;hardware-software co-design;H2020 Adeptness project;generic microservice template;bug fixes;industrial case study","","","","23","","10 May 2021","","","IEEE","IEEE Conferences"
"Continuous Testing in the Development of IoT Applications","L. G. Guşeilă; D. Bratu; S. Moraru","Transilvania University of Braşov,Department of Automatics and Information Technology,Braşov,România; Transilvania University of Braşov,Department of Automatics and Information Technology,Braşov,România; Transilvania University of Braşov,Department of Automatics and Information Technology,Braşov,România","2019 International Conference on Sensing and Instrumentation in IoT Era (ISSI)","23 Mar 2020","2019","","","1","6","Internet-of-Things has evolved with the increased volume of data of interconnecting the physical world to the Internet. Cloud provides the underlying power for IoT to become a disrupting technology, revolutionizing the cloud, as we know it. IoT applications need to adapt frequently and rapidly to new requests. Increasing competition and rapidly changing market needs require from nowadays companies' flexibility and fast time to market of their products. To achieve these goals more and more organizations are relying on new IT technologies and software development processes. Though there are many publications around DevOps as a methodology and the use of a process for continuous integration and continuous development, there are fewer solutions provided which incorporate a software delivery pipeline incorporating all processes: continuous business planning, agile development, continuous integration, continuous deployment and continuous testing. The paper proposes a DevOps architecture and agile tools to be used in the implementation of a fully integrated DevOps pipeline based on open-source. Furthermore, continuous testing is covering test best practices and methods, which along with the DevOps pipeline can be widely implemented in any cloud environment, regardless of the cloud provider chosen.","","978-1-7281-1022-6","10.1109/ISSI47111.2019.9043692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043692","IoT;Cloud Computing;Agile Development;DevOps;Continuous Integration;Continuous Development;Continuous Testing;Automated Testing","","cloud computing;DP industry;Internet;Internet of Things;program testing;software engineering","continuous testing;IoT applications;Internet of Things applications;software development processes;continuous integration;continuous development;software delivery pipeline;continuous business planning;agile development;fully integrated DevOps pipeline;cloud environment;cloud provider","","1","","13","","23 Mar 2020","","","IEEE","IEEE Conferences"
"An Agile Software Development Life Cycle Model for Machine Learning Application Development","R. Ranawana; A. S. Karunananda","Enterprise Machine Learning (Pvt) ltd,Colombo,Sri Lanka; Department of Computational Mathematics,Moratuwa,Sri Lanka","2021 5th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI)","5 Jan 2022","2021","","","1","6","Software development teams are often hampered when aligning machine learning production with standard software development processes. Iterative experimentation is needed to address the inherent complexities of data collection and preparation, model entanglement, and the technical debt of machine learning. The complexity of this process is compounded due to dependencies on the production environment and real- time data. We propose a unified framework which facilitates the planning, development, and deployment of a machine learning application through parallel processes for software and machine learning engineering. This allows for the risk of both the project and machine learning development to be significantly reduced through continuous integration, evaluation, and production. The framework, named MLASDLC, unifies concepts from standard software development life cycle methodologies (SDLC), development operations (DevOps) and machine learning operations (MLOps) to present a framework for the development of machine learning applications.","","978-1-6654-0655-0","10.1109/SLAAI-ICAI54477.2021.9664736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9664736","Machine learning;MLOps;DevOps;agile;SDLC;software development life cycle;experimentation;data-centric","Agile software development;Machine learning;Production;Data collection;Software;Data models;Complexity theory","computer aided instruction;learning (artificial intelligence);project management;software development management;software engineering;software prototyping;software quality","model entanglement;standard software development life cycle methodologies;development operations;agile software development life cycle model;machine learning application development;software development teams;aligning machine learning production;standard software development processes","","","","28","IEEE","5 Jan 2022","","","IEEE","IEEE Conferences"
"Enterprise-Driven Open Source Software: A Case Study on Security Automation","F. Angermeir; M. Voggenreiter; F. Moyón; D. Mendez","Technical University of Munich, Germany; Siemens Technology and Ludwig Maximilians University Munich, Germany; Siemens Technology and Technical University of Munich, Germany; Blekinge Institute of Technology and fortiss GmbH, Sweden and Germany","2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)","7 May 2021","2021","","","278","287","Agile and DevOps are widely adopted by the industry. Hence, integrating security activities with industrial practices, such as continuous integration (CI) pipelines, is necessary to detect security flaws and adhere to regulators' demands early. In this paper, we analyze automated security activities in CI pipelines of enterprise-driven open source software (OSS). This shall allow us, in the long-run, to better understand the extent to which security activities are (or should be) part of automated pipelines. In particular, we mine publicly available OSS repositories and survey a sample of project maintainers to better understand the role that security activities and their related tools play in their CI pipelines. To increase transparency and allow other researchers to replicate our study (and to take different perspectives), we further disclose our research artefacts. Our results indicate that security activities in enterprise-driven OSS projects are scarce and protection coverage is rather low. Only 6.83% of the analyzed 8,243 projects apply security automation in their CI pipelines, even though maintainers consider security to be rather important. This alerts industry to keep the focus on vulnerabilities of 3rd Party software and it opens space for other improvements of practice which we outline in this manuscript.","","978-1-6654-3869-8","10.1109/ICSE-SEIP52600.2021.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402050","Security;Secure Software Engineering;Continuous Integration;Open Source Software;DevOps;DevSecOps","Industries;Automation;Pipelines;Tools;Security;Open source software;Software engineering","pipelines;public domain software;security of data;service-oriented architecture;software development management","enterprise-driven open source software;security automation;integrating security activities;continuous integration pipelines;security flaws;CI pipelines;automated pipelines;enterprise-driven OSS projects","","1","","30","","7 May 2021","","","IEEE","IEEE Conferences"
